round,emission_micro,total_supply_micro,halving_index
0,0,0,0
1,100,100,0
2,100,200,0
3,100,300,0
4,100,400,0
5,100,500,0
6,100,600,0
7,100,700,0
8,100,800,0
9,100,900,0
10,100,1000,0
11,100,1100,0
12,100,1200,0
13,100,1300,0
14,100,1400,0
15,100,1500,0
16,100,1600,0
17,100,1700,0
18,100,1800,0
19,100,1900,0
20,100,2000,0
21,100,2100,0
22,100,2200,0
23,100,2300,0
24,100,2400,0
25,100,2500,0
26,100,2600,0
27,100,2700,0
28,100,2800,0
29,100,2900,0
30,100,3000,0
31,100,3100,0
32,100,3200,0
33,100,3300,0
34,100,3400,0
35,100,3500,0
36,100,3600,0
37,100,3700,0
38,100,3800,0
39,100,3900,0
40,100,4000,0
41,100,4100,0
42,100,4200,0
43,100,4300,0
44,100,4400,0
45,100,4500,0
46,100,4600,0
47,100,4700,0
48,100,4800,0
49,100,4900,0
50,100,5000,0
51,100,5100,0
52,100,5200,0
53,100,5300,0
54,100,5400,0
55,100,5500,0
56,100,5600,0
57,100,5700,0
58,100,5800,0
59,100,5900,0
60,100,6000,0
61,100,6100,0
62,100,6200,0
63,100,6300,0
64,100,6400,0
65,100,6500,0
66,100,6600,0
67,100,6700,0
68,100,6800,0
69,100,6900,0
70,100,7000,0
71,100,7100,0
72,100,7200,0
73,100,7300,0
74,100,7400,0
75,100,7500,0
76,100,7600,0
77,100,7700,0
78,100,7800,0
79,100,7900,0
80,100,8000,0
81,100,8100,0
82,100,8200,0
83,100,8300,0
84,100,8400,0
85,100,8500,0
86,100,8600,0
87,100,8700,0
88,100,8800,0
89,100,8900,0
90,100,9000,0
91,100,9100,0
92,100,9200,0
93,100,9300,0
94,100,9400,0
95,100,9500,0
96,100,9600,0
97,100,9700,0
98,100,9800,0
99,100,9900,0
100,100,10000,0
101,100,10100,0
102,100,10200,0
103,100,10300,0
104,100,10400,0
105,100,10500,0
106,100,10600,0
107,100,10700,0
108,100,10800,0
109,100,10900,0
110,100,11000,0
111,100,11100,0
112,100,11200,0
113,100,11300,0
114,100,11400,0
115,100,11500,0
116,100,11600,0
117,100,11700,0
118,100,11800,0
119,100,11900,0
120,100,12000,0
121,100,12100,0
122,100,12200,0
123,100,12300,0
124,100,12400,0
125,100,12500,0
126,100,12600,0
127,100,12700,0
128,100,12800,0
129,100,12900,0
130,100,13000,0
131,100,13100,0
132,100,13200,0
133,100,13300,0
134,100,13400,0
135,100,13500,0
136,100,13600,0
137,100,13700,0
138,100,13800,0
139,100,13900,0
140,100,14000,0
141,100,14100,0
142,100,14200,0
143,100,14300,0
144,100,14400,0
145,100,14500,0
146,100,14600,0
147,100,14700,0
148,100,14800,0
149,100,14900,0
150,100,15000,0
151,100,15100,0
152,100,15200,0
153,100,15300,0
154,100,15400,0
155,100,15500,0
156,100,15600,0
157,100,15700,0
158,100,15800,0
159,100,15900,0
160,100,16000,0
161,100,16100,0
162,100,16200,0
163,100,16300,0
164,100,16400,0
165,100,16500,0
166,100,16600,0
167,100,16700,0
168,100,16800,0
169,100,16900,0
170,100,17000,0
171,100,17100,0
172,100,17200,0
173,100,17300,0
174,100,17400,0
175,100,17500,0
176,100,17600,0
177,100,17700,0
178,100,17800,0
179,100,17900,0
180,100,18000,0
181,100,18100,0
182,100,18200,0
183,100,18300,0
184,100,18400,0
185,100,18500,0
186,100,18600,0
187,100,18700,0
188,100,18800,0
189,100,18900,0
190,100,19000,0
191,100,19100,0
192,100,19200,0
193,100,19300,0
194,100,19400,0
